Debaters,Bid,Bid Rd
Andy Gu & Joshua Lee,1,1
,0,2
,2,3
,0,4
Kam Narra & Ethan Handel,1,1
,2,2
Dhruva Rangan & Joshua Lee,1,1
,2,2
Sara Catherine Cook & Anna Kate Lembke,0,1
,1,2
,2,3
,0,4
Nilesh Chander & Volodymyr Zhuravsky,0,1
,1,2
,2,3
,3,4
Siliva Aydinyan & Susanna Mkhitaryan,1,1
,0,2
,0,3
,2,4
,3,5
Darya Kaviani & Roshni Varma,0,1
,1,2
,2,3
,3,4
,4,5
Christian Brown & Callan Hazeldine,1,1
,2,2
David Parau & Sukesh Ram,1,1
,0,2
,2,3
Kayra Ilkbahar & Akash Shanmugam,,
,1,1
Johnathon Giesecke & Burke Cochran,1,1
,2,2
Jack Johnson & Thomas Gill,1,1
,0,2
,2,3
,3,4
,0,5
,0,6
Morgan Swigert & Izzy Wu,1,1
,2,2
,3,3
,4,4
,0,5
Saahit Adabala & Parker Kasiewicz,1,1
,2,2
Sid Inta & Julian Melendi,1,1
,2,2
Benjamin Oestericher & Elias Silver,1,1
,2,2
,3,3
,4,4
,5,5
Aarin Shah & Eshan Kalra,0,1
,1,2
,2,3
,3,4
Avalon Delasandro & Francesca Lupi,1,1
,2,2
,3,3
,4,4
,5,5
,6,6
,7,7
,8,8
Joshua Bratt & Oliver Choo,1,1
,0,2
,2,3
Isaac Fan & Matthew Schaeffer,1,1
,2,2
Gauruv Singh & Gavin Gwaltney,1,1
,2,2
,3,3
Alexander Shoflick & Nicholas Woodman,,
,0,1
Aatreya Tewary & Anuraag Routray,1,1
,2,2
,3,3
,4,4
,5,5
,0,6
AJ Camacho & John D. Cobb,0,1
,1,2
,2,3
Sarab Bhasin & Sarah Wornow,1,1
,1,1
Pia Dovichi & Ben Park,1,1
,2,2
,3,3
,4,4
Brant Haugh & Ilan Nurko,0,1
,1,2
,2,3
,0,4
Mariah Cady & Noor Abdallah,0,1
,0,2
,1,3
,2,4
Ryan Jiang & Sreya Pattipati,1,1
,0,2
,2,3
,3,4
,4,5
,5,6
,6,7
Aashray Khanna & Justin Luo,0,1
,0,2
,1,3
,0,4
,2,5
,0,6
,3,7
,4,8
Harry Ren & Derrick Zhen,1,1
,2,2
Matthew Norman & Fabiola Sepulveda,1,1
,2,2
Tvisha Malik & Hannah Bertinot,0,1
,1,2
,0,3
,0,4
,2,5
Ilana Cuello-Wolffe & Josh Fielding,1,1
,2,2
Zara Chapple & JJ Yu,1,1
,0,2
,2,3
,0,4
,3,5
Andrew Fostiropoulos & Bryce Waldmann,1,1
,2,2
,0,3
,3,4
,0,5
,0,6
John Manahan & Yash Patel,0,1
,1,2
,2,3
,0,4
Saad Jamal & Shreyas Kiran,1,1
,0,2
,2,3
,3,4
,0,5
,4,6
,5,7
,6,8
Rahul Kaparaboyna & Rohit Srinivas,1,1
,2,2
Sofia Chang & Yilin Li,0,1
,0,2
,1,3
,2,4
,3,5
Nathan Dalva-Baird & Sheridan Kum,1,1
,2,2
,0,3
Adriana Kim & Andrew Owens,1,1
,2,2
,3,3
Ayush Patel & Jason Scheller,,
,1,1
,2,2
,0,3
,3,4
,0,5
Siddhartha Nair & Anirudh Bhaskara,0,1
,1,2
,2,3
,0,4
Arjun Maheshwari & Ryan Zhu,1,1
,2,2
,0,3
Matthew Nissen & Theodore Teske,1,1
,2,2
,0,3
Olivia Bobrownicki & Adam Alamy,0,1
,1,2
,2,3
,3,4
,0,5
Ryan Gumlia & Martand Bhagavatula,1,1
,2,2
,0,3
,0,4
Matthew Ong & Numair Razzak,0,1
,1,2
,2,3
,3,4
,4,5
,5,6
Hitakshi Savdharia & Harishri Savdharia,1,1
,0,2
,0,3
,0,4
,2,5
Ishan Balakrishnan & Ezra Kohrman,0,1
,0,2
,1,3
,2,4
Philip Bonnano & Tucker Wilke,1,1
,2,2
,3,3
,0,4
,4,5
,5,6
Lyons & Goel,,
,1,1
,2,2
Ethan Kim & Sajan Mehrotra,,
,0,1
,0,2
,1,3
,2,4
,3,5
,0,6
Sasha Snyder & Leila Granmayah,0,1
,1,2
,2,3
Richard He & Benjamin Lee,1,1
,0,2
,2,3
,0,4
,3,5
,0,6
Saif Moolji & Taimur Moolji,1,1
,2,2
,3,3
,4,4
Eddie Jin & Rhea Sanger,0,1
,0,2
,1,3
,2,4
Max Li & Amala Karri,,
,1,1
,0,2
,2,3
Felix Roz & Teddy Tawil,1,1
